CASE	SPEAKER	NORMALIZED_MATCH_POSITION	WORDS_IN_IU	INTONATION	MORPHOLOGY	LEXICAL_RET	MIRRORING	PREC_PAUSE	FOLL_PAUSE	FUNCTION
416	Vasilij Shalugin	1	3	Falling	-л	FALSE	NA	0	0	COP
417	Vasilij Shalugin	1	3	Falling	-т	FALSE	NA	0	1.5	COP
418	Vasilij Shalugin	1	3	Falling	-нун-ну-й	FALSE	NA	0.8	1.3	COP
419	Vasilij Shalugin	1	3	Continuing	-л	FALSE	NA	0	0.3	COP
420	Vasilij Shalugin	1	1	Continuing	-т	FALSE	NA	0	1.9	PH
421	Vasilij Shalugin	1	1	Continuing	NA	TRUE	FULL	1.6	0	PH
422	Vasilij Shalugin	1	1	Continuing	-гэ	FALSE	NA	0.4	1	PH
423	Vasilij Shalugin	0.666666666666667	4	Continuing	-ӈи-дэ-гэ	FALSE	NA	0	0	COP
424	Vasilij Shalugin	1	1	Continuing	-ӈ	TRUE	FULL	5	1.5	PH
425	Vasilij Shalugin	1	1	Continuing	-гэлэ	TRUE	FULL	0.4	0.7	PH
426	Vasilij Shalugin	1	1	Continuing	-ӈин	TRUE	FULL	0.9	0.4	PH
427	Vasilij Shalugin	0.8	6	Continuing	-т-чэ	FALSE	NA	0.5	1.3	COP
428	Vasilij Shalugin	1	1	Continuing	-т	TRUE	PARTIAL	0	0	PH
429	Vasilij Shalugin	1	2	Continuing	-ӈи	FALSE	NA	0	0.7	COP
430	Vasilij Shalugin	1	1	Continuing	-гэ	FALSE	NA	1	0.4	PH
431	Vasilij Shalugin	1	2	Falling	-л	FALSE	NA	1.2	2	COP
432	Vasilij Shalugin	1	1	Continuing	-т	FALSE	NA	0	0.5	COP
433	Vasilij Shalugin	1	4	Continuing	-ӈидэ	FALSE	NA	2.6	0.9	COP
434	Vasilij Shalugin	1	1	Continuing	-гэ	FALSE	NA	1.7	0.2	PH
435	Vasilij Shalugin	1	1	Continuing	-ги	TRUE	FULL	1.9	1.2	PH
436	Vasilij Shalugin	1	4	Falling	-й	FALSE	NA	0.6	1	COP
437	Vasilij Shalugin	1	2	Continuing	NA	TRUE	FULL	0.2	0.7	PH
438	Vasilij Shalugin	1	2	Continuing	-т	FALSE	NA	0.8	1.1	COP
439	Vasilij Shalugin	1	3	Continuing	-к	FALSE	NA	0.7	0.2	PH
440	Vasilij Shalugin	0.666666666666667	4	Falling	-к	FALSE	NA	0.2	2.6	PH
